job_id,title,location,salary_range,date_posted,company_id
175,Healthcare Consultant,Denver,80000-100000,2024-09-05,2
176,Curriculum Designer,San Francisco,100000-130000,2024-05-07,5
177,Backend Developer,New York,100000-130000,2024-09-02,3
178,Healthcare Consultant,New York,80000-100000,2024-08-10,2
179,Research Associate,Seattle,80000-100000,2024-10-14,10
180,Environmental Scientist,Los Angeles,80000-100000,2024-10-22,6
181,Data Analyst,Dallas,90000-110000,2024-07-10,4
182,UX Designer,Denver,80000-100000,2024-06-23,1
183,Backend Developer,Atlanta,60000-80000,2024-09-25,8
184,Financial Analyst,Atlanta,80000-100000,2024-07-09,5
185,Curriculum Designer,Atlanta,70000-90000,2024-09-20,9
186,UX Designer,San Francisco,70000-90000,2024-10-23,4
187,Curriculum Designer,Seattle,70000-90000,2024-05-19,2
188,Software Engineer,Los Angeles,90000-110000,2024-06-13,3
189,Software Engineer,Boston,80000-100000,2024-11-01,6
190,Research Associate,Atlanta,100000-130000,2024-08-25,4
191,Curriculum Designer,Denver,90000-110000,2024-06-19,8
192,Research Associate,San Francisco,90000-110000,2024-06-22,5
193,Data Analyst,New York,80000-100000,2024-10-09,5
194,Software Engineer,New York,60000-80000,2024-06-03,6
195,Research Associate,Austin,90000-110000,2024-10-09,1
196,Environmental Scientist,Seattle,80000-100000,2024-08-20,2
197,Environmental Scientist,Atlanta,70000-90000,2024-08-01,4
198,Software Engineer,San Francisco,50000-70000,2024-05-24,10
199,Research Associate,New York,50000-70000,2024-05-22,4
200,Data Analyst,Chicago,90000-110000,2024-07-08,3
